Covidence #,Study ID,Title,Reviewer Name,Title,Authors,Year of publication,Journal name,Country of study ,World Bank income classification,Data source type,Sample size — number of accidents,Study period covered by data,Geographic scope,Urban or rural setting,ML algorithm or algorithms used ,Algorithm category,Prediction task type,Training and test split method,Class imbalance addressed,Hyperparameter tuning reported,Spatial analysis method used ,Temporal resolution of analysis,Geographic unit of analysis ,Spatiotemporal framework type,Accuracy reported ,AUC or AUROC reported,F1-score reported ,Precision reported,Recall or sensitivity reported ,RMSE reported,MAE reported,Other metric and value ,Best performing algorithm in study ,Study conducted in Bangladesh,Study conducted in LMIC,Authors discuss LMIC transferability,Bangladesh relevance notes,PROBAST overall risk of bias,PROBAST Participants domain,PROBAST Predictors domain,PROBAST Outcome domain,PROBAST Analysis domain ,Author stated limitations,Key findings summary,PROBAST — Participants,PROBAST — Participants supporting text,PROBAST — Predictors,PROBAST — Predictors supporting text,PROBAST — Outcome,PROBAST — Outcome supporting text,PROBAST — Analysis,PROBAST — Analysis supporting text,PROBAST — Overall risk of bias,PROBAST — Overall risk of bias supporting text
42,Sum 2025,A random forest and SHAP-based analysis of motorcycle crash severity in Thailand: Urban-rural and day-night perspectives,Consensus,A random forest and SHAP-based analysis of motorcycle crash severity in Thailand: Urban-rural and day-night perspectives,"Sum, S., et al.",2025,Transportation Engineering,Thailand,Upper-middle income,Other: Thailand's Highway Accident Information Management System (HAIMS),"12,266 crashes",2020–2022,National level,Mixed,"Random Forest (RF), Logistic Regression (LR), and Decision Tree (DT)",Ensemble,Severity classification,Not reported,Yes-oversampling,Yes,Urban-rural disparity analysis,Hourly,Roadway type (Urban vs. Rural),Combined spatiotemporal,"Urban Day: 66.5% ,  Urban Night: 64.7% ,  Rural Day: 63.8% ,  Rural Night: 65.9%",Not Reported,0.419 to 0.765 (varied by scenario and severity class),0.528 to 0.706,0.347 to 0.835,Not Reported,Not Reported,Mean Absolute SHAP values (Average impact on model output magnitude),Random Forest,No,Yes,Yes,"Like Bangladesh, Thailand is an LMIC where motorcyclists are vulnerable road users and road traffic deaths are high. The study's focus on low-cost machine learning interventions for motorcycle safety is highly applicable to the Bangladeshi context.",Low risk,Low risk,Low risk,Low risk,Low risk,Reliance on reported crash data may underrepresent minor crashes.  Study period (2020–2022) coincided with COVID-19 restrictions.  Potential class imbalance affecting classification sensitivity in certain scenarios. ,Large trucks and head-on collisions are universal risk factors for severe/fatal injury across all settings.  Passenger cars and side-swipe collisions are associated with lower severity.  Visibility (lighting) is critical; dark areas without electric lighting in rural nighttime strongly correlate with severe outcomes.  Context-specific risks include U-turns in daytime and parked vehicle collisions in urban nighttime. ,,,,,,,,,,
39,Emmanuel 2025,Landmark-Aware Heterogeneous Graph Framework for Multi-Source Road Crash Data Integration in Nigeria,Sarbajit Paul Bappy,Landmark-Aware Heterogeneous Graph Framework for Multi-Source Road Crash Data Integration in Nigeria,E. O. Olaniyi et al.,2025,NIPES - Journal of Science and Technology Research,Nigeria,Lower-middle income,Mixed sources,559 crash,Not Reported,National level,Not specified,Heterogeneous Graph Model,Deep learning,Mixed,Not reported,Not reported,Not reported,Landmark-aware integration using OpenStreetMap geospatial nodes.,Not specified,Landmarks and road crash locations,Combined spatiotemporal,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,The proposed landmark-aware heterogeneous graph framework is presented as a novel solution for holistic forecasting in developing nations.,No,Yes,Yes,"The framework's focus on integrating multi-source data (official records + crowdsourced maps) is highly relevant for Bangladesh, where official accident data may benefit from enrichment with geospatial landmarks to improve prediction accuracy.",Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,"The study developed a novel landmark-aware heterogeneous graph framework to integrate multi-source road crash data in Nigeria. By combining official crash records with geospatial data, the model effectively characterizes the complex relationships necessary for accurate forecasting in developing nations.",,,,,,,,,,
39,Emmanuel 2025,Landmark-Aware Heterogeneous Graph Framework for Multi-Source Road Crash Data Integration in Nigeria,Consensus,Landmark-Aware Heterogeneous Graph Framework for Multi-Source Road Crash Data Integration in Nigeria,E. O. Olaniyi et al.,2025,NIPES - Journal of Science and Technology Research,Nigeria,Lower-middle income,Mixed sources,559 crash,Not Reported,National level,Not specified,Heterogeneous Graph Model,Deep learning,Mixed,Not reported,Not reported,Not reported,Landmark-aware integration using OpenStreetMap geospatial nodes.,Not specified,Landmarks and road crash locations,Combined spatiotemporal,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,The proposed landmark-aware heterogeneous graph framework is presented as a novel solution for holistic forecasting in developing nations.,No,Yes,Yes,"The framework's focus on integrating multi-source data (official records + crowdsourced maps) is highly relevant for Bangladesh, where official accident data may benefit from enrichment with geospatial landmarks to improve prediction accuracy.",Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,"The study developed a novel landmark-aware heterogeneous graph framework to integrate multi-source road crash data in Nigeria. By combining official crash records with geospatial data, the model effectively characterizes the complex relationships necessary for accurate forecasting in developing nations.",,,,,,,,,,
37,Reyes 2025,"Data-Driven Urban Traffic Injury Profiling Using Machine Learning and Spatiotemporal Analytics in Muntinlupa City, Philippines",Sarbajit Paul Bappy,"Data-Driven Urban Traffic Injury Profiling Using 
Machine Learning and Spatiotemporal Analytics in Muntinlupa City, Philippines","M. J. R., et al.",2025,2025 International Seminar on Application for Technology of Information and Communication (iSemantic) / IEEE,Philippines,Lower-middle income,Police records,Not Reported,January 2021 to December 2023,City level,Urban,"Logistic Regression, Decision Tree, Support Vector Machine (SVM), and Naïve Bayes; Association Rule Mining (Eclat, Apriori, FP-Growth)",Traditional ML,Severity classification,Not reported,Yes-SMOTE,No,Hotspot mapping and barangay-level spatial trend visualization,Hourly,Barangay level,Combined spatiotemporal,96.74% (Naïve Bayes),1.0 (Naïve Bayes),94.69% (Naïve Bayes),89.92% (Naïve Bayes),100% (Naïve Bayes),Not Reported,Not Reported,"Support (0.2229), Confidence (0.3356 - 0.4722), and Lift (0.7108) for Association Rule Mining","Naïve Bayes (due to balance of accuracy, 100% recall, and zero false negatives)",No,Yes,Yes,"The study addresses challenges common in the Philippines and other LMICs, such as high motorcycle involvement, data fragmentation, and the need for low-cost, open-source analytics frameworks.",Low risk,Low risk,Low risk,Low risk,High risk,"Exclusion of road conditions, lighting, weather, and driver demographics; binary classification only (no severity gradients); and potential for overstated accuracy."," * Motorcycles are the most injury-prone vehicle type.  Injury hotspots are concentrated in high-traffic barangays (Alabang, Putatan, Tunasan) and morning rush hours.  Naïve Bayes is an effective classifier for injury risk due to zero false negatives (100% recall).  Strong co-occurrence between motorcycles and cars in incidents, but statistical association (lift) is weak. ",,,,,,,,,,
37,Reyes 2025,"Data-Driven Urban Traffic Injury Profiling Using Machine Learning and Spatiotemporal Analytics in Muntinlupa City, Philippines",Consensus,"Data-Driven Urban Traffic Injury Profiling Using 
Machine Learning and Spatiotemporal Analytics in Muntinlupa City, Philippines","M. J. R., et al.",2025,2025 International Seminar on Application for Technology of Information and Communication (iSemantic) / IEEE,Philippines,Lower-middle income,Police records,Not Reported,January 2021 to December 2023,City level,Urban,"Logistic Regression, Decision Tree, Support Vector Machine (SVM), and Naïve Bayes; Association Rule Mining (Eclat, Apriori, FP-Growth)",Traditional ML,Severity classification,Not reported,Yes-SMOTE,No,Hotspot mapping and barangay-level spatial trend visualization,Hourly,Barangay level,Combined spatiotemporal,96.74% (Naïve Bayes),1.0 (Naïve Bayes),94.69% (Naïve Bayes),89.92% (Naïve Bayes),100% (Naïve Bayes),Not Reported,Not Reported,"Support (0.2229), Confidence (0.3356 - 0.4722), and Lift (0.7108) for Association Rule Mining","Naïve Bayes (due to balance of accuracy, 100% recall, and zero false negatives)",No,Yes,Yes,"The study addresses challenges common in the Philippines and other LMICs, such as high motorcycle involvement, data fragmentation, and the need for low-cost, open-source analytics frameworks.",Low risk,Low risk,Low risk,Low risk,High risk,"Exclusion of road conditions, lighting, weather, and driver demographics; binary classification only (no severity gradients); and potential for overstated accuracy."," * Motorcycles are the most injury-prone vehicle type.  Injury hotspots are concentrated in high-traffic barangays (Alabang, Putatan, Tunasan) and morning rush hours.  Naïve Bayes is an effective classifier for injury risk due to zero false negatives (100% recall).  Strong co-occurrence between motorcycles and cars in incidents, but statistical association (lift) is weak. ",,,,,,,,,,
27,Keote 2025,Hybrid Deep Learning for Accident Detection with an Android-Based Alert System,Sarbajit Paul Bappy,"Hybrid Deep Learning for Accident Detection with
an Android-Based Alert System",Vedant Keote et al,2025,Proceedings of the International Conference on Emerging Techniques in Computational Intelligence (ICETCI),India,Lower-middle income,Other: Visual source (Live surveillance video feeds and standard traffic crash video clips),Not Reported,Not Reported,National level,Urban,Hybrid architecture combining a Video Vision Transformer (ViViT) with a Bidirectional Long Short-Term Memory (Bi-LSTM) network.,Deep learning,Accident occurrence prediction,Not reported,Yes-SMOTE,Yes,ViViT self-attention mechanisms to extract detailed spatial pixel layouts and object relationships from video frames.,Not specified,Camera field of view / Ego-perspective video scene,Combined spatiotemporal,Evaluated through computerized vision metrics to ensure reliable deployment.,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Processing latency / response speed (optimized to support automated real-time alerts).,The combined ViViT + Bi-LSTM hybrid deep learning model.,No,Yes,Yes,"This framework is highly transferable to the dense urban intersections of Bangladesh, where deploying low-latency automated computer vision models onto existing surveillance feeds can dramatically cut emergency alert times without requiring new physical infrastructure.",Low risk,Low risk,Low risk,Low risk,Low risk,Distinguishing highly subtle visual variations between a narrow near-miss event and an actual low-impact collision requires substantial temporal context.,"The study introduced an end-to-end accident response pipeline linking a ViViT and Bi-LSTM model to an automated Android-based alert application. By successfully extracting multi-layered spatiotemporal signatures, the hybrid framework significantly curbs false alarms caused by non-critical anomalies, paving the way for faster ambulance dispatch and proactive medical support.",,,,,,,,,,
27,Keote 2025,Hybrid Deep Learning for Accident Detection with an Android-Based Alert System,Consensus,"Hybrid Deep Learning for Accident Detection with
an Android-Based Alert System",Vedant Keote et al,2025,Proceedings of the International Conference on Emerging Techniques in Computational Intelligence (ICETCI),India,Lower-middle income,Other: Visual source (Live surveillance video feeds and standard traffic crash video clips),Not Reported,Not Reported,National level,Urban,Hybrid architecture combining a Video Vision Transformer (ViViT) with a Bidirectional Long Short-Term Memory (Bi-LSTM) network.,Deep learning,Accident occurrence prediction,Not reported,Yes-SMOTE,Yes,ViViT self-attention mechanisms to extract detailed spatial pixel layouts and object relationships from video frames.,Not specified,Camera field of view / Ego-perspective video scene,Combined spatiotemporal,Evaluated through computerized vision metrics to ensure reliable deployment.,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Processing latency / response speed (optimized to support automated real-time alerts).,The combined ViViT + Bi-LSTM hybrid deep learning model.,No,Yes,Yes,"This framework is highly transferable to the dense urban intersections of Bangladesh, where deploying low-latency automated computer vision models onto existing surveillance feeds can dramatically cut emergency alert times without requiring new physical infrastructure.",Low risk,Low risk,Low risk,Low risk,Low risk,Distinguishing highly subtle visual variations between a narrow near-miss event and an actual low-impact collision requires substantial temporal context.,"The study introduced an end-to-end accident response pipeline linking a ViViT and Bi-LSTM model to an automated Android-based alert application. By successfully extracting multi-layered spatiotemporal signatures, the hybrid framework significantly curbs false alarms caused by non-critical anomalies, paving the way for faster ambulance dispatch and proactive medical support.",,,,,,,,,,
25,Ashraf 2025,"Exploring hotspots of traffic accidents in Chiniot-Sargodha Road, Punjab, Pakistan",Sarbajit Paul Bappy,"Exploring hotspots of traffic accidents in Chiniot-Sargodha Road, Punjab, Pakistan",T. Ashraf et al,2025,"Environment, Development and Sustainability",Pakistan,Lower-middle income,Mixed sources,"Not explicitly stated in the snippet, but covers all recorded RTAs on the specific road segment.",2012 to 2021,Regional level,Mixed,Not primarily ML-focused; utilizes spatial and statistical techniques.,Other: Spatial Statistics,Hotspot identification,Not reported,Not reported,Not reported,"Kernel Density Estimation (KDE), Standard Deviational Ellipse (SDE), and Average Nearest Neighbor (ANN).",Annual,Road segment/point locations,Combined spatiotemporal,Not applicable (Statistical significance of clusters is the focus).,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Z-score and p-values (standard for ANN and KDE cluster significance).,The integration of KDE with GIS tools provided the primary visualization of hotspots.,No,Yes,Yes,Findings regarding the correlation between RTAs and inadequate infrastructure in a similar LMIC setting are highly relevant for road safety planning in Bangladesh.,Low risk,Low risk,Low risk,Low risk,Low risk,Not explicitly detailed in the abstract/snippet.,"RTAs on the Chiniot-Sargodha Road show significant spatial clustering. These hotspots are strongly associated with specific demographic, infrastructural, and environmental factors, suggesting that targeted management is needed at these high-risk locations.",,,,,,,,,,
25,Ashraf 2025,"Exploring hotspots of traffic accidents in Chiniot-Sargodha Road, Punjab, Pakistan",Consensus,"Exploring hotspots of traffic accidents in Chiniot-Sargodha Road, Punjab, Pakistan",T. Ashraf et al,2025,"Environment, Development and Sustainability",Pakistan,Lower-middle income,Mixed sources,"Not explicitly stated in the snippet, but covers all recorded RTAs on the specific road segment.",2012 to 2021,Regional level,Mixed,Not primarily ML-focused; utilizes spatial and statistical techniques.,Other: Spatial Statistics,Hotspot identification,Not reported,Not reported,Not reported,"Kernel Density Estimation (KDE), Standard Deviational Ellipse (SDE), and Average Nearest Neighbor (ANN).",Annual,Road segment/point locations,Combined spatiotemporal,Not applicable (Statistical significance of clusters is the focus).,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Z-score and p-values (standard for ANN and KDE cluster significance).,The integration of KDE with GIS tools provided the primary visualization of hotspots.,No,Yes,Yes,Findings regarding the correlation between RTAs and inadequate infrastructure in a similar LMIC setting are highly relevant for road safety planning in Bangladesh.,Low risk,Low risk,Low risk,Low risk,Low risk,Not explicitly detailed in the abstract/snippet.,"RTAs on the Chiniot-Sargodha Road show significant spatial clustering. These hotspots are strongly associated with specific demographic, infrastructural, and environmental factors, suggesting that targeted management is needed at these high-risk locations.",,,,,,,,,,
23,Patil 2021,Road Accident Analysis and Hotspot Prediction using Clustering,Sarbajit Paul Bappy,Road Accident Analysis and Hotspot Prediction using Clustering,Patil et al.,2021,Proceedings of the 6th International Conference on Communication and Electronics Systems (ICCES-2021),India,Lower-middle income,Mixed sources,"207,617 records",Includes data from early 2018,National level,Mixed,k-means clustering,Traditional ML,Hotspot identification,Fixed split,Not reported,Yes,k-means clustering based on geographic coordinates,Hourly,Coordinates (Latitude and Longitude),Combined spatiotemporal,81%,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,k-means clustering (as it was the primary algorithm analyzed),No,Yes,Yes,"The study addresses infrastructure issues common in LMICs, such as potholes, sharp turns, and poor road conditions, which are directly relevant to the road safety context in Bangladesh.",,,,,,Unsupervised learning can be more unpredictable compared to other methods,"The study identified that overspeeding is more prevalent at night, and accident severity is higher on highways than on normal roads, primarily due to drink-driving and overspeeding. The model successfully maps these risks into red-pinned hotspots to alert users in real-time.",,,,,,,,,,
23,Patil 2021,Road Accident Analysis and Hotspot Prediction using Clustering,Consensus,Road Accident Analysis and Hotspot Prediction using Clustering,Patil et al.,2021,Proceedings of the 6th International Conference on Communication and Electronics Systems (ICCES-2021),India,Lower-middle income,Mixed sources,"207,617 records",Includes data from early 2018,National level,Mixed,k-means clustering,Traditional ML,Hotspot identification,Fixed split,Not reported,Yes,k-means clustering based on geographic coordinates,Hourly,Coordinates (Latitude and Longitude),Combined spatiotemporal,81%,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,k-means clustering (as it was the primary algorithm analyzed),No,Yes,Yes,"The study addresses infrastructure issues common in LMICs, such as potholes, sharp turns, and poor road conditions, which are directly relevant to the road safety context in Bangladesh.",Other: ,Other: ,Other: ,Other: ,,Unsupervised learning can be more unpredictable compared to other methods,"The study identified that overspeeding is more prevalent at night, and accident severity is higher on highways than on normal roads, primarily due to drink-driving and overspeeding. The model successfully maps these risks into red-pinned hotspots to alert users in real-time.",,,,,,,,,,
22,Ouni 2025,Towards a Spatially Intelligent Approach for Road Safety Analysis in Tunisia: Spatial Autocorrelation Approach vs Crash Count Models,Sarbajit Paul Bappy,Towards a spatially intelligent approach for road safety analysis in Tunisia: spatial autocorrelation approach vs crash count models,Ouni et al.,2025,6th International Conference on Logistics and Supply Chain Management (LOGISTIQUA),Tunisia,Lower-middle income,Mixed sources,"1,432 traffic accidents","January 1, 2020, to December 31, 2024",District level,Mixed,Poisson regression and Negative Binomial (NB) models,Traditional ML,Accident occurrence prediction,Not reported,Not reported,Not reported,Spatial autocorrelation using Global Moran Index and Local Indicator of Spatial Association (LISA/Local Moran Index),Annual,Road segment level (1-km segments),Spatial only,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,"Log-Likelihood: -1095.935 (Poisson), -1074.06 (NB)   AIC: 4.775 (Poisson), 5215 (NB)   BIC: -362.740 (Poisson), -495.175 (NB)",Negative Binomial (NB) model (due to better handling of data overdispersion),No,Yes,Yes,"Like Bangladesh, the study identifies that human factors (speeding, priority violations) and infrastructure deficiencies are primary drivers of accidents in a developing country context. The prevalence of motorcycle-related hotspots is also highly applicable to the Bangladeshi context.",,,,,,"Models do not fully account for dynamic temporal variations,  Lack of real-time traffic data integration,   Socioeconomic variables were not incorporated into the study","The study successfully mapped hazardous road locations (HRLs) in Sousse using spatial autocorrelation, identifying significant clustering along specific highways. The Negative Binomial model was superior for frequency prediction. Major accident determinants included human behaviors (speeding, alcohol, priority failure), vehicle defects (tires, lights), and poor road surface conditions.",,,,,,,,,,
22,Ouni 2025,Towards a Spatially Intelligent Approach for Road Safety Analysis in Tunisia: Spatial Autocorrelation Approach vs Crash Count Models,Consensus,Towards a spatially intelligent approach for road safety analysis in Tunisia: spatial autocorrelation approach vs crash count models,Ouni et al.,2025,6th International Conference on Logistics and Supply Chain Management (LOGISTIQUA),Tunisia,Lower-middle income,Mixed sources,"1,432 traffic accidents","January 1, 2020, to December 31, 2024",District level,Mixed,Poisson regression and Negative Binomial (NB) models,Traditional ML,Accident occurrence prediction,Not reported,Not reported,Not reported,Spatial autocorrelation using Global Moran Index and Local Indicator of Spatial Association (LISA/Local Moran Index),Annual,Road segment level (1-km segments),Spatial only,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,"Log-Likelihood: -1095.935 (Poisson), -1074.06 (NB)   AIC: 4.775 (Poisson), 5215 (NB)   BIC: -362.740 (Poisson), -495.175 (NB)",Negative Binomial (NB) model (due to better handling of data overdispersion),No,Yes,Yes,"Like Bangladesh, the study identifies that human factors (speeding, priority violations) and infrastructure deficiencies are primary drivers of accidents in a developing country context. The prevalence of motorcycle-related hotspots is also highly applicable to the Bangladeshi context.",,,,,,"Models do not fully account for dynamic temporal variations,  Lack of real-time traffic data integration,   Socioeconomic variables were not incorporated into the study","The study successfully mapped hazardous road locations (HRLs) in Sousse using spatial autocorrelation, identifying significant clustering along specific highways. The Negative Binomial model was superior for frequency prediction. Major accident determinants included human behaviors (speeding, alcohol, priority failure), vehicle defects (tires, lights), and poor road surface conditions.",,,,,,,,,,
20,Kour 2026,Exploring Spatiotemporal Relational Learning With TimeSformer for Identifying the Severity of the Road Accidents,Sarbajit Paul Bappy,Exploring Spatiotemporal Relational Learning With TimeSformer for Identifying the Severity of the Road Accidents,G. Girish et al,2026,IEEE Access,India,Lower-middle income,Other: Visual source (Video clip datasets: CADP (Car Accident Detection and Prediction) dataset and a custom-curated YouTube video dataset),"1,500 video clips",Not Reported,National level,Mixed,"TimeSformer (Time Space Transformer), compared against CNN-LSTM, 3D-CNN (C3D), and Vision Transformer (ViT) baselines",Deep learning,Severity classification,Fixed split,Yes-undersampling,Yes,"Divided Space-Time Attention (isolated spatial attention blocks) to capture precise frame-level entity layouts, vehicle positioning, and impact geometries",Not specified,Camera field of view / Traffic scene video frame,Combined spatiotemporal,89.67%,No,Yes (89.50%),Yes (89.42%),Yes (89.67%),No,No,Computational execution time (Inference speed achieved was approximately 28 frames per second),TimeSformer model (specifically utilizing the Divided Space-Time Attention configuration),No,Yes,Yes,"This vision-transformer approach is highly valuable for processing video feeds from urban intersections and highways in Bangladesh. By directly analyzing raw traffic video to classify accident severity into clear structural classes, it provides a blueprint for deploying proactive emergency alert pipelines without relying heavily on text-based historic reporting systems.",Low risk,Low risk,Low risk,Low risk,Low risk,"Performance can drop under heavily constrained environmental scenes, such as dense night environments, low illumination fields, or extreme weather conditions (e.g., heavy rain or fog) where object boundary pixels become distorted.","The study demonstrates that the TimeSformer framework achieves superior accuracy in classifying road accident severity by utilizing factorized spatiotemporal attention. The model successfully captures long-range temporal dynamics and subtle spatial deformations across video frames, vastly outperforming traditional CNN-LSTM and 3D-CNN methods while maintaining low inference latency for real-time traffic monitoring systems.",,,,,,,,,,
20,Kour 2026,Exploring Spatiotemporal Relational Learning With TimeSformer for Identifying the Severity of the Road Accidents,Consensus,Exploring Spatiotemporal Relational Learning With TimeSformer for Identifying the Severity of the Road Accidents,G. Girish et al,2026,IEEE Access,India,Lower-middle income,Other: Visual source (Video clip datasets: CADP (Car Accident Detection and Prediction) dataset and a custom-curated YouTube video dataset),"1,500 video clips",Not Reported,National level,Mixed,"TimeSformer (Time Space Transformer), compared against CNN-LSTM, 3D-CNN (C3D), and Vision Transformer (ViT) baselines",Deep learning,Severity classification,Fixed split,Yes-undersampling,Yes,"Divided Space-Time Attention (isolated spatial attention blocks) to capture precise frame-level entity layouts, vehicle positioning, and impact geometries",Not specified,Camera field of view / Traffic scene video frame,Combined spatiotemporal,89.67%,No,Yes (89.50%),Yes (89.42%),Yes (89.67%),No,No,Computational execution time (Inference speed achieved was approximately 28 frames per second),TimeSformer model (specifically utilizing the Divided Space-Time Attention configuration),No,Yes,Yes,"This vision-transformer approach is highly valuable for processing video feeds from urban intersections and highways in Bangladesh. By directly analyzing raw traffic video to classify accident severity into clear structural classes, it provides a blueprint for deploying proactive emergency alert pipelines without relying heavily on text-based historic reporting systems.",Low risk,Low risk,Low risk,Low risk,Low risk,"Performance can drop under heavily constrained environmental scenes, such as dense night environments, low illumination fields, or extreme weather conditions (e.g., heavy rain or fog) where object boundary pixels become distorted.","The study demonstrates that the TimeSformer framework achieves superior accuracy in classifying road accident severity by utilizing factorized spatiotemporal attention. The model successfully captures long-range temporal dynamics and subtle spatial deformations across video frames, vastly outperforming traditional CNN-LSTM and 3D-CNN methods while maintaining low inference latency for real-time traffic monitoring systems.",,,,,,,,,,
19,Alnowaiser 2025,A Computational Intelligence GNN–LSTM Framework for Spatiotemporal Prediction of Traffic Accident Severity in Smart Cities Using SHAP XAI,Sarbajit Paul Bappy,"A Computational Intelligence GNN–LSTM Framework for
Spatiotemporal Prediction of Traffic Accident Severity in
Smart Cities Using SHAP XAI",Khaled Alnowaiser et al,2025,International Journal of Computational Intelligence Systems (Int J Comput Intell Syst).,United States,High income,Other: Publicly available datasets from Kaggle.,"Approximately 2.8 million records (main US dataset); 1.8 million (UK validation); 12,316 (Ethiopia validation).",February 2016 to March 2023.,National level,Mixed,"Proposed: RASPNet (GNN + LSTM + MLP hybrid).  Baselines: Random Forest (RF), AdaBoost (AB), K-Nearest Neighbor (KNN), Gradient Boosting Machine (GBM), Support Vector Machine (SVM), Decision Tree (DT), Logistic Regression (LR), Extra Trees Classifier (ETC), Stochastic Gradient Descent (SGD), Gaussian Naïve Bayes (GNB), CNN, LSTM, MLP, and GRU. ",Deep learning,Severity classification,k-fold cross validation,Yes-SMOTE,Yes,"Graph Neural Network (GNN) modeling the road network as a directed graph $G=(V,E)$.",Hourly,Road segments and intersections.,Combined spatiotemporal,99.97% (Proposed RASPNet).,99.94%.,99.99%.,99.99%.,99.99%.,Not Reported,Not Reported,Cohen's Kappa (99.20%).,Proposed RASPNet (GNN-LSTM-MLP hybrid).,No,No,Yes,Not Reported,Low risk,Low risk,Low risk,Low risk,Low risk,Computational cost is higher than standalone models (11% higher training cost) ; performance on subjective subjective accident labeling (slight vs. serious classes).,"Integrating spatial dependencies (GNN) and temporal dynamics (LSTM) significantly improves prediction accuracy over traditional ML. SHAP analysis identified Year, Month, and Day_Hour as dominant predictive factors.",,,,,,,,,,
19,Alnowaiser 2025,A Computational Intelligence GNN–LSTM Framework for Spatiotemporal Prediction of Traffic Accident Severity in Smart Cities Using SHAP XAI,Consensus,"A Computational Intelligence GNN–LSTM Framework for
Spatiotemporal Prediction of Traffic Accident Severity in
Smart Cities Using SHAP XAI",Khaled Alnowaiser et al,2025,International Journal of Computational Intelligence Systems (Int J Comput Intell Syst).,United States,High income,Other: Publicly available datasets from Kaggle.,"Approximately 2.8 million records (main US dataset); 1.8 million (UK validation); 12,316 (Ethiopia validation).",February 2016 to March 2023.,National level,Mixed,"Proposed: RASPNet (GNN + LSTM + MLP hybrid).  Baselines: Random Forest (RF), AdaBoost (AB), K-Nearest Neighbor (KNN), Gradient Boosting Machine (GBM), Support Vector Machine (SVM), Decision Tree (DT), Logistic Regression (LR), Extra Trees Classifier (ETC), Stochastic Gradient Descent (SGD), Gaussian Naïve Bayes (GNB), CNN, LSTM, MLP, and GRU. ",Deep learning,Severity classification,k-fold cross validation,Yes-SMOTE,Yes,"Graph Neural Network (GNN) modeling the road network as a directed graph $G=(V,E)$.",Hourly,Road segments and intersections.,Combined spatiotemporal,99.97% (Proposed RASPNet).,99.94%.,99.99%.,99.99%.,99.99%.,Not Reported,Not Reported,Cohen's Kappa (99.20%).,Proposed RASPNet (GNN-LSTM-MLP hybrid).,No,No,Yes,Not Reported,Low risk,Low risk,Low risk,Low risk,Low risk,Computational cost is higher than standalone models (11% higher training cost) ; performance on subjective subjective accident labeling (slight vs. serious classes).,"Integrating spatial dependencies (GNN) and temporal dynamics (LSTM) significantly improves prediction accuracy over traditional ML. SHAP analysis identified Year, Month, and Day_Hour as dominant predictive factors.",,,,,,,,,,
18,Fetene 2026,"Temporal trends and forecasting of road traffic crashes in Amhara region, Ethiopia: a time series approach",Sarbajit Paul Bappy,"Temporal trends and forecasting of road traffic 
crashes in Amhara region, Ethiopia: a time 
series approach",Tilahun Fetene et al.,2026,Discover Applied Sciences,Ethiopia,Low income,Other: Official government records (Amhara National Regional State Police Commission),"17,214 total crashes",July 2013 to June 2023,Regional level,Mixed,Seasonal Autoregressive Integrated Moving Average (SARIMA).,Traditional ML,Temporal risk prediction,Time-based split,Not reported,Yes,Regional trend evaluation across the Amhara territory.,Monthly,Regional administrative level,Temporal only,Evaluated through error metrics,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Yes,MAPE (Mean Absolute Percentage Error) and Normalized BIC.,"SARIMA (Specifically the SARIMA(0,1,1)(0,1,1)12 model).",No,Yes,Yes,The application of time-series forecasting to manage regional road safety in Ethiopia is directly applicable to similar administrative regional planning in Bangladesh.,Low risk,Low risk,Low risk,Low risk,Low risk,"The study relied on historical data which may not account for sudden, unmodeled shifts in traffic policy or infrastructure.","The study identified an increasing trend in road traffic crashes in the Amhara region. The SARIMA model proved to be a robust tool for forecasting these trends, providing a proactive basis for regional traffic management and safety intervention planning.",,,,,,,,,,
